,2023-07-25 00:00:00+00:00,0,26.5,LKME,temperature
0,2023-07-25 00:00:00+00:00,0.5,26.43,LKME,temperature
1,2023-07-25 00:00:00+00:00,1.0,26.26,LKME,temperature
2,2023-07-25 00:00:00+00:00,1.5,25.18,LKME,temperature
3,2023-07-25 00:00:00+00:00,2.0,24.98,LKME,temperature
4,2023-07-25 00:00:00+00:00,3.0,24.78,LKME,temperature
5,2023-07-25 00:00:00+00:00,4.0,24.44,LKME,temperature
6,2023-07-25 00:00:00+00:00,5.0,24.1,LKME,temperature
7,2023-07-25 00:00:00+00:00,6.0,23.39,LKME,temperature
8,2023-07-25 00:00:00+00:00,7.0,,LKME,temperature
9,2023-07-25 00:00:00+00:00,8.0,20.65,LKME,temperature
10,2023-07-25 00:00:00+00:00,9.0,16.3,LKME,temperature
11,2023-07-25 00:00:00+00:00,10.0,13.61,LKME,temperature
12,2023-07-25 00:00:00+00:00,11.0,11.44,LKME,temperature
13,2023-07-25 00:00:00+00:00,12.0,10.08,LKME,temperature
14,2023-07-25 00:00:00+00:00,13.0,9.61,LKME,temperature
15,2023-07-25 00:00:00+00:00,14.0,9.31,LKME,temperature
16,2023-07-25 00:00:00+00:00,15.0,9.09,LKME,temperature
17,2023-07-25 00:00:00+00:00,16.0,8.83,LKME,temperature
18,2023-07-25 00:00:00+00:00,17.0,8.69,LKME,temperature
19,2023-07-25 00:00:00+00:00,18.0,8.58,LKME,temperature
20,2023-07-25 00:00:00+00:00,19.0,8.5,LKME,temperature
21,2023-07-25 00:00:00+00:00,20.0,8.69,LKME,temperature
22,2023-07-25 00:00:00+00:00,0.0,26.5,LKME,temperature
23,2023-07-25 00:00:00+00:00,0.5,26.43,LKME,temperature
24,2023-07-25 00:00:00+00:00,1.0,26.26,LKME,temperature
25,2023-07-25 00:00:00+00:00,1.5,25.18,LKME,temperature
26,2023-07-25 00:00:00+00:00,2.0,24.98,LKME,temperature
27,2023-07-25 00:00:00+00:00,3.0,24.78,LKME,temperature
28,2023-07-25 00:00:00+00:00,4.0,24.44,LKME,temperature
29,2023-07-25 00:00:00+00:00,5.0,24.1,LKME,temperature
30,2023-07-25 00:00:00+00:00,6.0,23.39,LKME,temperature
31,2023-07-25 00:00:00+00:00,7.0,,LKME,temperature
32,2023-07-25 00:00:00+00:00,8.0,20.65,LKME,temperature
33,2023-07-25 00:00:00+00:00,9.0,16.3,LKME,temperature
34,2023-07-25 00:00:00+00:00,10.0,13.61,LKME,temperature
35,2023-07-25 00:00:00+00:00,11.0,11.44,LKME,temperature
36,2023-07-25 00:00:00+00:00,12.0,10.08,LKME,temperature
37,2023-07-25 00:00:00+00:00,13.0,9.61,LKME,temperature
38,2023-07-25 00:00:00+00:00,14.0,9.31,LKME,temperature
39,2023-07-25 00:00:00+00:00,15.0,9.09,LKME,temperature
40,2023-07-25 00:00:00+00:00,16.0,8.83,LKME,temperature
41,2023-07-25 00:00:00+00:00,17.0,8.69,LKME,temperature
42,2023-07-25 00:00:00+00:00,18.0,8.58,LKME,temperature
43,2023-07-25 00:00:00+00:00,19.0,8.5,LKME,temperature
44,2023-07-25 00:00:00+00:00,20.0,8.69,LKME,temperature
